Species,L3_DistinctRegions,L2_DistinctRegions,L1_DistinctRegions
acerifolia,3,2,1
acutidens,4,2,2
acutifolia,16,10,4
affinis,8,7,4
agrifolia,8,4,4
ajoensis,4,3,2
alba,47,13,6
aliena,3,2,1
arizonica,18,14,8
arkansana,6,5,2
austrina,6,4,1
benthamii,2,1,1
berberidifolia,8,4,4
bicolor,35,10,5
boyntonii,4,3,1
brandegeei,3,2,2
buckleyi,9,5,3
canariensis,1,1,1
canbyi,5,5,5
candicans,20,17,8
castanea,19,14,5
chapmanii,4,4,2
chrysolepis,18,9,7
coccinea,36,10,5
conspersa,16,12,5
conzattii,7,7,5
cornelius-mulleri,4,2,2
corrugata,1,1,1
cortesii,6,5,3
crassifolia,21,15,6
crassipes,16,12,5
crispifolia,4,4,3
dalechampii,1,1,1
delgadoana,1,1,1
deserticola,10,7,3
diversifolia,10,8,5
douglasii,10,6,5
dumosa,10,5,4
durata,8,5,5
eduardii,11,11,5
elliottii,4,3,2
ellipsoidalis,19,9,4
elliptica,17,13,5
emoryi,12,10,6
engelmannii,11,7,5
eugeniifolia,5,4,1
fabri,1,1,1
faginea,1,1,1
falcata,26,7,2
fusiformis,14,9,6
gambelii,19,10,7
garryana,17,6,5
geminata,4,3,2
gentryi,10,9,4
georgiana,5,4,2
germana,6,6,4
germanii,1,1,1
glabrescens,10,8,4
glaucescens,10,9,5
glaucoides,12,10,6
graciliformis,3,3,3
gravesii,7,5,5
greggii,11,9,6
grisea,17,14,8
havardii,7,4,3
hemisphaerica,8,4,1
hypoleucoides,10,8,7
ilicifolia,16,8,4
iltisii,3,2,2
imbricaria,26,9,4
incana,12,6,2
inopina,2,2,1
insignis,6,4,2
john-tuckeri,5,2,2
kelloggii,16,7,6
laceyi,8,8,7
laeta,19,14,6
laevis,10,5,3
lancifolia,12,9,4
laurifolia,21,9,6
laurina,20,15,6
libani,1,1,1
liebmanii,5,3,2
lobata,12,7,5
lyrata,22,7,2
macranthera,3,3,2
macrocarpa,59,17,7
magnolifolia,15,11,5
margarettae,18,7,2
marilandica,35,12,5
martinezii,8,7,3
mexicana,13,11,7
michauxi,34,11,4
minima,3,3,2
mohriana,11,7,4
mongolica,3,3,1
montana,19,7,3
muehlenbergii,52,15,8
myrtifolia,3,3,2
new species,1,1,1
nigra,29,11,5
nuttallii,2,2,1
oblongifolia,10,7,5
obtusata,18,13,6
ocoteifolia,7,6,3
oglethorpensis,3,2,1
oleoides,13,11,6
pacifica,1,1,1
pagoda,24,8,2
palmeri,9,6,5
palustris,44,12,6
parvula,5,3,3
peduncularis,17,11,5
peninsularis,4,2,2
petraea,2,2,1
phellos,27,9,4
pinnativenulosa,4,4,3
planipocula,7,6,3
polymorpha,13,12,6
pontica,1,1,1
potosina,7,7,4
prinoides,32,9,3
pubescens,6,6,3
pungens,16,12,8
purulhana,2,2,2
pyrenaica,1,1,1
resinosa,11,11,5
robur,29,13,7
rubra,54,14,8
rugosa,23,17,6
sadleriana,5,3,3
sapotifolia,10,9,5
sartorii,8,7,5
scytophylla,13,11,4
segoviensis,6,4,3
shumardii,36,10,4
similis,14,5,2
sinuata,20,9,4
stellata,37,10,4
texana,20,8,4
tomentella,5,3,3
toumeyi,8,6,4
turbinella,19,9,8
uxoris,4,3,2
vacciniifolia,13,5,5
vaseyana,8,7,6
velutina,45,12,4
virginiana,20,9,5
wislizeni,11,6,5
